400 ,    1, 2,
400 ,    1, 2,
50  ,    1, 1,
200 ,    1, 2,
50  ,    1, 1,
25  ,    1, 1,
100 ,    2, 2,
200 ,    1, 1,
200 ,    1, 2,
800 ,    2, 2,
400 ,    2, 2,
400 ,    2, 2,
100 ,    1, 1,
200 ,    1, 2,
300 ,    1, 2,
50  ,    1, 2,
100 ,    2, 2,
50  ,    1, 1,
400 ,    2, 2,
50  ,    1, 2,
50  ,    2, 2,
400 ,    2, 2,
400 ,    2, 2,
100 ,    2, 2,
800 ,    4, 2,
400 ,    4, 2,
100 ,    2, 2,
100 ,    1, 2,
25  ,    1, 1,
100 ,    1, 2,
50  ,    1, 2,
400 ,    1, 2,
200 ,    1, 2,
25  ,    1, 1,
25  ,    1, 1,
100 ,    1, 2,
100 ,    1, 1,
800 ,    2, 2,
2000,    2, 2,
400 ,    1, 2,
200 ,    1, 2,
100 ,    1, 2,
50  ,    2, 1,
50  ,    2, 1,
100 ,    1, 1,
400 ,    2, 2,
100 ,    2, 2,
100 ,    2, 2,
200 ,    2, 2,
100 ,    1, 1,
200 ,    2, 2,
600 ,    3, 2,
50  ,    1, 1,
100 ,    2, 2,
200 ,    1, 2,
400 ,    2, 2,
200 ,    1, 2,
400 ,    4, 2,
50  ,    1, 2,
200 ,    1, 2,
50  ,    1, 2,
50  ,    2, 2,
150 ,    3, 2,
300 ,    3, 2,
400 ,    2, 2,
100 ,    2, 2,
200     1 2

==========================================================

{impressions:800 , colors:4, sides:2},
{impressions:1200, colors:3, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:200 , colors:2, sides:2},
{impressions:1800, colors:3, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:200 , colors:2, sides:2},
{impressions:100 , colors:2, sides:1},
{impressions:400 , colors:2, sides:2},
{impressions:2000, colors:2, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:600 , colors:3, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:800 , colors:4, sides:2},
{impressions:200 , colors:1, sides:1},
{impressions:200 , colors:1, sides:2},
{impressions:50  , colors:1, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:200 , colors:1, sides:2},
{impressions:100 , colors:1, sides:1},
{impressions:800 , colors:2, sides:2},
{impressions:200 , colors:1, sides:2},
{impressions:100 , colors:1, sides:2},
{impressions:100 , colors:1, sides:1},
{impressions:400 , colors:2, sides:2},
{impressions:100 , colors:1, sides:1},
{impressions:50  , colors:1, sides:1},
{impressions:100 , colors:2, sides:2},
{impressions:200 , colors:1, sides:2},
{impressions:200 , colors:2, sides:1},
{impressions:400 , colors:2, sides:2},
{impressions:200 , colors:2, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:400 , colors:4, sides:2},
{impressions:160 , colors:4, sides:2},
{impressions:160 , colors:4, sides:2},
{impressions:300 , colors:4, sides:2},
{impressions:150 , colors:3, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:400 , colors:1, sides:2},
{impressions:200 , colors:1, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:50  , colors:2, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:800 , colors:4, sides:2},
{impressions:400 , colors:4, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:25  , colors:1, sides:1},
{impressions:800 , colors:2, sides:2},
{impressions:2000, colors:2, sides:2},
{impressions:50  , colors:2, sides:1},
{impressions:50  , colors:2, sides:1},
{impressions:400 , colors:2, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:50  , colors:1, sides:1},
{impressions:25  , colors:1, sides:1},
{impressions:200 , colors:2, sides:2},
{impressions:200 , colors:2, sides:2},
{impressions:600 , colors:3, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:400 , colors:4, sides:2},
{impressions:50  , colors:2, sides:2},
{impressions:100 , colors:2, sides:2},
{impressions:150 , colors:3, sides:2},
{impressions:300 , colors:3, sides:2},
{impressions:400 , colors:2, sides:2},
{impressions:800 , colors:4, sides:2},
{impressions:50  , colors:1, sides:1}
